cand,date,rcp
Rubio,2015-12-26 00:00:00,11.3
Carson,2015-12-26 00:00:00,9.3
Bush,2015-12-26 00:00:00,4.2
Christie,2015-12-26 00:00:00,4.2
Paul,2015-12-26 00:00:00,2.5
Kasich,2015-12-26 00:00:00,2.0
Huckabee,2015-12-26 00:00:00,1.8
Fiorina,2015-12-26 00:00:00,2.2
Santorum,2015-12-26 00:00:00,0.5
Walker,2015-12-26 00:00:00,
Jindal,2015-12-26 00:00:00,
Perry,2015-12-26 00:00:00,
Graham,2015-12-26 00:00:00,0.7
Pataki,2015-12-26 00:00:00,0.2
Trump,2015-12-25 00:00:00,35.1
Cruz,2015-12-25 00:00:00,18.1
Rubio,2015-12-25 00:00:00,11.5
Carson,2015-12-25 00:00:00,10.0
Bush,2015-12-25 00:00:00,4.4
Christie,2015-12-25 00:00:00,3.9
Paul,2015-12-25 00:00:00,2.6
Kasich,2015-12-25 00:00:00,2.1
Huckabee,2015-12-25 00:00:00,2.1
Fiorina,2015-12-25 00:00:00,2.4
Santorum,2015-12-25 00:00:00,0.4
Walker,2015-12-25 00:00:00,
Jindal,2015-12-25 00:00:00,
Perry,2015-12-25 00:00:00,
Graham,2015-12-25 00:00:00,0.6
Pataki,2015-12-25 00:00:00,0.1
Trump,2015-12-24 00:00:00,35.1
Cruz,2015-12-24 00:00:00,18.1
Rubio,2015-12-24 00:00:00,11.5
Carson,2015-12-24 00:00:00,10.0
Bush,2015-12-24 00:00:00,4.4
Christie,2015-12-24 00:00:00,3.9
Paul,2015-12-24 00:00:00,2.6
Kasich,2015-12-24 00:00:00,2.1
Huckabee,2015-12-24 00:00:00,2.1
Fiorina,2015-12-24 00:00:00,2.4
Santorum,2015-12-24 00:00:00,0.4
Walker,2015-12-24 00:00:00,
Jindal,2015-12-24 00:00:00,
Perry,2015-12-24 00:00:00,
Graham,2015-12-24 00:00:00,0.6
Pataki,2015-12-24 00:00:00,0.1
Trump,2015-12-23 00:00:00,35.1
Cruz,2015-12-23 00:00:00,18.1
Rubio,2015-12-23 00:00:00,11.5
Carson,2015-12-23 00:00:00,10.0
Bush,2015-12-23 00:00:00,4.4
Christie,2015-12-23 00:00:00,3.9
Paul,2015-12-23 00:00:00,2.6
Kasich,2015-12-23 00:00:00,2.1
Huckabee,2015-12-23 00:00:00,2.1
Fiorina,2015-12-23 00:00:00,2.4
Santorum,2015-12-23 00:00:00,0.4
Walker,2015-12-23 00:00:00,
Jindal,2015-12-23 00:00:00,
Perry,2015-12-23 00:00:00,
Graham,2015-12-23 00:00:00,0.6
Pataki,2015-12-23 00:00:00,0.1
Trump,2015-12-22 00:00:00,33.6
Cruz,2015-12-22 00:00:00,18.0
Rubio,2015-12-22 00:00:00,12.3
Carson,2015-12-22 00:00:00,10.0
Bush,2015-12-22 00:00:00,4.5
Christie,2015-12-22 00:00:00,3.5
Paul,2015-12-22 00:00:00,2.4
Kasich,2015-12-22 00:00:00,2.1
Huckabee,2015-12-22 00:00:00,2.0
Fiorina,2015-12-22 00:00:00,2.4
Santorum,2015-12-22 00:00:00,0.6
Walker,2015-12-22 00:00:00,
Jindal,2015-12-22 00:00:00,
Perry,2015-12-22 00:00:00,
Graham,2015-12-22 00:00:00,0.4
Pataki,2015-12-22 00:00:00,0.1
Trump,2015-12-21 00:00:00,34.4
Cruz,2015-12-21 00:00:00,17.1
Rubio,2015-12-21 00:00:00,12.3
Carson,2015-12-21 00:00:00,10.0
Bush,2015-12-21 00:00:00,4.6
Christie,2015-12-21 00:00:00,3.1
Paul,2015-12-21 00:00:00,2.4
Kasich,2015-12-21 00:00:00,2.3
Huckabee,2015-12-21 00:00:00,2.1
Fiorina,2015-12-21 00:00:00,2.4
Santorum,2015-12-21 00:00:00,0.5
Walker,2015-12-21 00:00:00,
Jindal,2015-12-21 00:00:00,
Perry,2015-12-21 00:00:00,
Graham,2015-12-21 00:00:00,0.5
Pataki,2015-12-21 00:00:00,0.2
Trump,2015-12-20 00:00:00,34.4
Cruz,2015-12-20 00:00:00,17.1
Rubio,2015-12-20 00:00:00,12.3
Carson,2015-12-20 00:00:00,10.0
