cand,date,rcp
Trump,2016-01-05 00:00:00,27.4
Cruz,2016-01-05 00:00:00,31.0
Rubio,2016-01-05 00:00:00,11.6
Carson,2016-01-05 00:00:00,9.2
Paul,2016-01-05 00:00:00,2.6
Bush,2016-01-05 00:00:00,4.8
Huckabee,2016-01-05 00:00:00,2.6
Kasich,2016-01-05 00:00:00,1.6
Fiorina,2016-01-05 00:00:00,2.2
Christie,2016-01-05 00:00:00,2.2
Santorum,2016-01-05 00:00:00,0.6
Walker,2016-01-05 00:00:00,
Jindal,2016-01-05 00:00:00,
Perry,2016-01-05 00:00:00,
Graham,2016-01-05 00:00:00,0.4
Pataki,2016-01-05 00:00:00,0.4
Trump,2016-01-04 00:00:00,27.4
Cruz,2016-01-04 00:00:00,31.0
Rubio,2016-01-04 00:00:00,11.6
Carson,2016-01-04 00:00:00,9.2
Paul,2016-01-04 00:00:00,2.6
Bush,2016-01-04 00:00:00,4.8
Huckabee,2016-01-04 00:00:00,2.6
Kasich,2016-01-04 00:00:00,1.6
Fiorina,2016-01-04 00:00:00,2.2
Christie,2016-01-04 00:00:00,2.2
Santorum,2016-01-04 00:00:00,0.6
Walker,2016-01-04 00:00:00,
Jindal,2016-01-04 00:00:00,
Perry,2016-01-04 00:00:00,
Graham,2016-01-04 00:00:00,0.4
Pataki,2016-01-04 00:00:00,0.4
Trump,2016-01-03 00:00:00,27.4
Cruz,2016-01-03 00:00:00,31.0
Rubio,2016-01-03 00:00:00,11.6
Carson,2016-01-03 00:00:00,9.2
Paul,2016-01-03 00:00:00,2.6
Bush,2016-01-03 00:00:00,4.8
Huckabee,2016-01-03 00:00:00,2.6
Kasich,2016-01-03 00:00:00,1.6
Fiorina,2016-01-03 00:00:00,2.2
Christie,2016-01-03 00:00:00,2.2
Santorum,2016-01-03 00:00:00,0.6
Walker,2016-01-03 00:00:00,
Jindal,2016-01-03 00:00:00,
Perry,2016-01-03 00:00:00,
Graham,2016-01-03 00:00:00,0.4
Pataki,2016-01-03 00:00:00,0.4
Trump,2016-01-02 00:00:00,27.4
Cruz,2016-01-02 00:00:00,31.0
Rubio,2016-01-02 00:00:00,11.6
Carson,2016-01-02 00:00:00,9.2
Paul,2016-01-02 00:00:00,2.6
Bush,2016-01-02 00:00:00,4.8
Huckabee,2016-01-02 00:00:00,2.6
Kasich,2016-01-02 00:00:00,1.6
Fiorina,2016-01-02 00:00:00,2.2
Christie,2016-01-02 00:00:00,2.2
Santorum,2016-01-02 00:00:00,0.6
Walker,2016-01-02 00:00:00,
Jindal,2016-01-02 00:00:00,
Perry,2016-01-02 00:00:00,
Graham,2016-01-02 00:00:00,0.4
Pataki,2016-01-02 00:00:00,0.4
Trump,2016-01-01 00:00:00,27.5
Cruz,2016-01-01 00:00:00,30.3
Rubio,2016-01-01 00:00:00,12.0
Carson,2016-01-01 00:00:00,9.3
Paul,2016-01-01 00:00:00,2.8
Bush,2016-01-01 00:00:00,4.8
Huckabee,2016-01-01 00:00:00,2.3
Kasich,2016-01-01 00:00:00,1.5
Fiorina,2016-01-01 00:00:00,2.3
Christie,2016-01-01 00:00:00,2.3
Santorum,2016-01-01 00:00:00,0.5
Walker,2016-01-01 00:00:00,
Jindal,2016-01-01 00:00:00,
Perry,2016-01-01 00:00:00,
Graham,2016-01-01 00:00:00,0.3
Pataki,2016-01-01 00:00:00,0.3
Trump,2015-12-31 00:00:00,27.5
Cruz,2015-12-31 00:00:00,30.3
Rubio,2015-12-31 00:00:00,12.0
Carson,2015-12-31 00:00:00,9.3
Paul,2015-12-31 00:00:00,2.8
Bush,2015-12-31 00:00:00,4.8
Huckabee,2015-12-31 00:00:00,2.3
